tile_id,grid_x,grid_y,lat_min,lat_max,lon_min,lon_max,center_lat,center_lon,heat_level,normalized_heat
00_00,0,0,51.1194,51.1294,71.3991,71.4091,51.1244,71.4041,25.2,0.45
00_01,0,1,51.1194,51.1294,71.4091,71.4191,51.1244,71.4141,24.77,0.44
00_02,0,2,51.1194,51.1294,71.4191,71.4291,51.1244,71.4241,27.93,0.50
00_03,0,3,51.1194,51.1294,71.4291,71.4391,51.1244,71.4341,25.73,0.46
00_04,0,4,51.1194,51.1294,71.4391,71.4491,51.1244,71.4441,29.96,0.54
00_05,0,5,51.1194,51.1294,71.4491,71.4591,51.1244,71.4541,29.12,0.52
00_06,0,6,51.1194,51.1294,71.4591,71.4691,51.1244,71.4641,31.67,0.57
00_07,0,7,51.1194,51.1294,71.4691,71.4791,51.1244,71.4741,29.93,0.53
00_08,0,8,51.1194,51.1294,71.4791,71.4891,51.1244,71.4841,31.05,0.56
00_09,0,9,51.1194,51.1294,71.4891,71.4991,51.1244,71.4941,32.42,0.58
01_00,1,0,51.1294,51.1394,71.3991,71.4091,51.1344,71.4041,23.84,0.43
01_01,1,1,51.1294,51.1394,71.4091,71.4191,51.1344,71.4141,25.5,0.46
01_02,1,2,51.1294,51.1394,71.4191,71.4291,51.1344,71.4241,23.65,0.42
01_03,1,3,51.1294,51.1394,71.4291,71.4391,51.1344,71.4341,24.3,0.44
01_04,1,4,51.1294,51.1394,71.4391,71.4491,51.1344,71.4441,29.36,0.53
01_05,1,5,51.1294,51.1394,71.4491,71.4591,51.1344,71.4541,26.91,0.48
01_06,1,6,51.1294,51.1394,71.4591,71.4691,51.1344,71.4641,30.42,0.55
01_07,1,7,51.1294,51.1394,71.4691,71.4791,51.1344,71.4741,37.32,0.67
01_08,1,8,51.1294,51.1394,71.4791,71.4891,51.1344,71.4841,35.9,0.64
01_09,1,9,51.1294,51.1394,71.4891,71.4991,51.1344,71.4941,35.56,0.64
02_00,2,0,51.1394,51.1494,71.3991,71.4091,51.1444,71.4041,23.57,0.42
02_01,2,1,51.1394,51.1494,71.4091,71.4191,51.1444,71.4141,22.86,0.41
02_02,2,2,51.1394,51.1494,71.4191,71.4291,51.1444,71.4241,31.61,0.57
02_03,2,3,51.1394,51.1494,71.4291,71.4391,51.1444,71.4341,25.32,0.45
02_04,2,4,51.1394,51.1494,71.4391,71.4491,51.1444,71.4441,32.35,0.58
02_05,2,5,51.1394,51.1494,71.4491,71.4591,51.1444,71.4541,26.46,0.47
02_06,2,6,51.1394,51.1494,71.4591,71.4691,51.1444,71.4641,35.19,0.63
02_07,2,7,51.1394,51.1494,71.4691,71.4791,51.1444,71.4741,34.75,0.62
02_08,2,8,51.1394,51.1494,71.4791,71.4891,51.1444,71.4841,35.27,0.63
02_09,2,9,51.1394,51.1494,71.4891,71.4991,51.1444,71.4941,33.92,0.61
03_00,3,0,51.1494,51.1594,71.3991,71.4091,51.1544,71.4041,25.3,0.45
03_01,3,1,51.1494,51.1594,71.4091,71.4191,51.1544,71.4141,21.81,0.39
03_02,3,2,51.1494,51.1594,71.4191,71.4291,51.1544,71.4241,26.0,0.47
03_03,3,3,51.1494,51.1594,71.4291,71.4391,51.1544,71.4341,27.83,0.50
03_04,3,4,51.1494,51.1594,71.4391,71.4491,51.1544,71.4441,26.99,0.48
03_05,3,5,51.1494,51.1594,71.4491,71.4591,51.1544,71.4541,31.49,0.56
03_06,3,6,51.1494,51.1594,71.4591,71.4691,51.1544,71.4641,31.56,0.56
03_07,3,7,51.1494,51.1594,71.4691,71.4791,51.1544,71.4741,30.1,0.54
03_08,3,8,51.1494,51.1594,71.4791,71.4891,51.1544,71.4841,33.76,0.61
03_09,3,9,51.1494,51.1594,71.4891,71.4991,51.1544,71.4941,37.49,0.67
04_00,4,0,51.1594,51.1694,71.3991,71.4091,51.1644,71.4041,27.06,0.49
04_01,4,1,51.1594,51.1694,71.4091,71.4191,51.1644,71.4141,25.59,0.46
04_02,4,2,51.1594,51.1694,71.4191,71.4291,51.1644,71.4241,27.76,0.50
04_03,4,3,51.1594,51.1694,71.4291,71.4391,51.1644,71.4341,27.9,0.50
04_04,4,4,51.1594,51.1694,71.4391,71.4491,51.1644,71.4441,33.04,0.59
04_05,4,5,51.1594,51.1694,71.4491,71.4591,51.1644,71.4541,30.29,0.54
04_06,4,6,51.1594,51.1694,71.4591,71.4691,51.1644,71.4641,29.55,0.53
04_07,4,7,51.1594,51.1694,71.4691,71.4791,51.1644,71.4741,35.16,0.63
04_08,4,8,51.1594,51.1694,71.4791,71.4891,51.1644,71.4841,35.88,0.64
04_09,4,9,51.1594,51.1694,71.4891,71.4991,51.1644,71.4941,34.04,0.61
05_00,5,0,51.1694,51.1794,71.3991,71.4091,51.1744,71.4041,19.61,0.35
05_01,5,1,51.1694,51.1794,71.4091,71.4191,51.1744,71.4141,22.46,0.40
05_02,5,2,51.1694,51.1794,71.4191,71.4291,51.1744,71.4241,27.19,0.49
05_03,5,3,51.1694,51.1794,71.4291,71.4391,51.1744,71.4341,28.81,0.52
05_04,5,4,51.1694,51.1794,71.4391,71.4491,51.1744,71.4441,27.4,0.49
05_05,5,5,51.1694,51.1794,71.4491,71.4591,51.1744,71.4541,26.75,0.48
05_06,5,6,51.1694,51.1794,71.4591,71.4691,51.1744,71.4641,29.02,0.52
05_07,5,7,51.1694,51.1794,71.4691,71.4791,51.1744,71.4741,33.19,0.59
05_08,5,8,51.1694,51.1794,71.4791,71.4891,51.1744,71.4841,31.79,0.57
05_09,5,9,51.1694,51.1794,71.4891,71.4991,51.1744,71.4941,33.83,0.61
06_00,6,0,51.1794,51.1894,71.3991,71.4091,51.1844,71.4041,25.13,0.45
06_01,6,1,51.1794,51.1894,71.4091,71.4191,51.1844,71.4141,25.68,0.46
06_02,6,2,51.1794,51.1894,71.4191,71.4291,51.1844,71.4241,31.84,0.57
06_03,6,3,51.1794,51.1894,71.4291,71.4391,51.1844,71.4341,25.47,0.46
06_04,6,4,51.1794,51.1894,71.4391,71.4491,51.1844,71.4441,27.25,0.49
06_05,6,5,51.1794,51.1894,71.4491,71.4591,51.1844,71.4541,31.0,0.56
06_06,6,6,51.1794,51.1894,71.4591,71.4691,51.1844,71.4641,35.64,0.64
06_07,6,7,51.1794,51.1894,71.4691,71.4791,51.1844,71.4741,31.35,0.56
06_08,6,8,51.1794,51.1894,71.4791,71.4891,51.1844,71.4841,33.19,0.59
06_09,6,9,51.1794,51.1894,71.4891,71.4991,51.1844,71.4941,37.08,0.66
07_00,7,0,51.1894,51.1994,71.3991,71.4091,51.1944,71.4041,27.66,0.50
07_01,7,1,51.1894,51.1994,71.4091,71.4191,51.1944,71.4141,23.68,0.42
07_02,7,2,51.1894,51.1994,71.4191,71.4291,51.1944,71.4241,27.9,0.50
07_03,7,3,51.1894,51.1994,71.4291,71.4391,51.1944,71.4341,28.87,0.52
07_04,7,4,51.1894,51.1994,71.4391,71.4491,51.1944,71.4441,27.12,0.49
07_05,7,5,51.1894,51.1994,71.4491,71.4591,51.1944,71.4541,29.18,0.52
07_06,7,6,51.1894,51.1994,71.4591,71.4691,51.1944,71.4641,32.28,0.58
07_07,7,7,51.1894,51.1994,71.4691,71.4791,51.1944,71.4741,32.45,0.58
07_08,7,8,51.1894,51.1994,71.4791,71.4891,51.1944,71.4841,33.84,0.61
07_09,7,9,51.1894,51.1994,71.4891,71.4991,51.1944,71.4941,33.91,0.61
08_00,8,0,51.1994,51.2094,71.3991,71.4091,51.2044,71.4041,23.53,0.42
08_01,8,1,51.1994,51.2094,71.4091,71.4191,51.2044,71.4141,23.45,0.42
08_02,8,2,51.1994,51.2094,71.4191,71.4291,51.2044,71.4241,27.73,0.50
08_03,8,3,51.1994,51.2094,71.4291,71.4391,51.2044,71.4341,28.17,0.51
08_04,8,4,51.1994,51.2094,71.4391,71.4491,51.2044,71.4441,26.67,0.48
08_05,8,5,51.1994,51.2094,71.4491,71.4591,51.2044,71.4541,29.98,0.54
08_06,8,6,51.1994,51.2094,71.4591,71.4691,51.2044,71.4641,34.43,0.62
08_07,8,7,51.1994,51.2094,71.4691,71.4791,51.2044,71.4741,34.55,0.62
08_08,8,8,51.1994,51.2094,71.4791,71.4891,51.2044,71.4841,34.4,0.62
08_09,8,9,51.1994,51.2094,71.4891,71.4991,51.2044,71.4941,34.78,0.62
09_00,9,0,51.2094,51.2194,71.3991,71.4091,51.2144,71.4041,19.56,0.35
09_01,9,1,51.2094,51.2194,71.4091,71.4191,51.2144,71.4141,25.13,0.45
09_02,9,2,51.2094,51.2194,71.4191,71.4291,51.2144,71.4241,26.82,0.48
09_03,9,3,51.2094,51.2194,71.4291,71.4391,51.2144,71.4341,28.75,0.52
09_04,9,4,51.2094,51.2194,71.4391,71.4491,51.2144,71.4441,28.22,0.51
09_05,9,5,51.2094,51.2194,71.4491,71.4591,51.2144,71.4541,30.91,0.55
09_06,9,6,51.2094,51.2194,71.4591,71.4691,51.2144,71.4641,32.19,0.58
09_07,9,7,51.2094,51.2194,71.4691,71.4791,51.2144,71.4741,33.68,0.60
09_08,9,8,51.2094,51.2194,71.4791,71.4891,51.2144,71.4841,32.52,0.58
